time,G(i),H_sun,T2m,WS10m,Int
20050113:2211,0,0,3.03,3.79,0
20050113:2311,0,0,2.65,3.52,0
20050114:0011,0,0,2.38,3.38,0
20050114:0111,0,0,2.27,3.38,0
20050114:0211,0,0,2.06,3.31,0
20050114:0311,0,0,1.85,3.17,0
20050114:0411,0,0,1.66,3.03,0
20050114:0511,0,0,1.6,2.9,0
20050114:0611,0,0,1.4,2.97,0
20050114:0711,0,0,1.1,3.03,0
20050114:0811,0,0,1.24,2.97,0
20050114:0911,73.4,9.54,1.99,2.97,0
20050114:1011,125.59,13.57,3.11,2.76,0
20050114:1111,158.77,15.53,4.16,2.9,0
20050114:1211,90.22,15.24,4.76,2.9,0
20050114:1311,61.02,12.73,5.39,2.97,0
20050114:1411,37.34,8.22,5.32,3.03,0
20050114:1511,3.64,2.07,4.69,2.76,0
20050114:1611,0,0,3.73,2.55,0
20050114:1711,0,0,3.21,2.41,0
20050114:1811,0,0,3.07,2.28,0
20050114:1911,0,0,2.44,2.21,0
20050114:2011,0,0,2.11,2.07,0
20050114:2111,0,0,1.77,1.93,0
20050114:2211,0,0,1.34,1.86,0
20050114:2311,0,0,0.6,1.79,0
20050115:0011,0,0,-0.17,1.66,0
20050115:0111,0,0,-1.07,1.52,0
20050115:0211,0,0,-1.46,1.38,0
20050115:0311,0,0,-1.51,1.17,0
20050115:0411,0,0,-1.15,0.97,0
20050115:0511,0,0,-1.01,0.62,0
20050115:0611,0,0,-1.32,0.83,0
20050115:0711,0,0,-0.67,1.17,0
20050115:0811,0,0,-0.44,1.24,0
20050115:0911,58.77,9.67,-0.16,1.24,0
20050115:1011,111.63,13.73,0.55,1.1,0
20050115:1111,81.85,15.71,1.07,1.17,0
20050115:1211,94.75,15.43,1.58,1.31,0
20050115:1311,111.44,12.93,2.15,1.59,0
20050115:1411,351.09,8.42,2.23,1.79,0
20050115:1511,21.86,2.27,1.98,2.07,0
20050115:1611,0,0,1.29,2.14,0
20050115:1711,0,0,0.82,2.41,0
20050115:1811,0,0,0.34,2.48,0
20050115:1911,0,0,0.03,2.41,0
20050115:2011,0,0,-0.24,2.34,0
20050115:2111,0,0,-0.42,2.28,0
20050115:2211,0,0,-0.72,2.28,0
20050115:2311,0,0,-0.96,2.28,0
20050116:0011,0,0,-1.13,2.34,0
20050116:0111,0,0,-1.28,2.41,0
20050116:0211,0,0,-1.48,2.34,0
20050116:0311,0,0,-1.72,2.28,0
20050116:0411,0,0,-1.98,2.21,0
20050116:0511,0,0,-2.21,2.21,0
20050116:0611,0,0,-2.38,2.21,0
20050116:0711,0,0,-2.57,2.07,0
20050116:0811,0,0,-2.66,2.07,0
20050116:0911,214.27,9.82,-1.46,1.93,0
20050116:1011,530.36,13.89,0.22,1.86,0
20050116:1111,664.7,15.89,1.6,2.07,0
20050116:1211,606.46,15.63,2.61,2.14,0
20050116:1311,694.54,13.13,3.11,2,0
20050116:1411,457.13,8.63,2.91,2.21,0
20050116:1511,185.61,2.47,1.96,2.41,0
20050116:1611,0,0,0.88,2.55,0
20050116:1711,0,0,0.53,2.55,0
20050116:1811,0,0,0.35,2.62,0
20050116:1911,0,0,0.34,2.69,0
20050116:2011,0,0,0.36,2.83,0
20050116:2111,0,0,0.43,2.97,0
20050116:2211,0,0,0.49,3.1,0
20050116:2311,0,0,0.48,3.1,0
20050117:0011,0,0,0.47,3.1,0
20050117:0111,0,0,0.61,3.03,0
20050117:0211,0,0,1.33,3.03,0
20050117:0311,0,0,1.99,3.1,0
20050117:0411,0,0,2.41,3.24,0
20050117:0511,0,0,2.65,3.31,0
20050117:0611,0,0,3.02,3.45,0
20050117:0711,0,0,3.33,3.52,0
20050117:0811,0,0,3.76,3.66,0
20050117:0911,14.57,9.97,4.27,3.93,0
20050117:1011,38.25,14.06,5.07,4.34,0
20050117:1111,469.03,16.08,5.48,4.55,0
20050117:1211,53.74,15.83,5.54,4.62,0
20050117:1311,68.31,13.34,5.9,4.21,0
20050117:1411,17.31,8.83,6,4.48,0
20050117:1511,10.93,2.68,5.72,4.41,0
20050117:1611,0,0,5.52,4.41,0
20050117:1711,0,0,5.4,4.55,0
20050117:1811,0,0,5.06,4.62,0
20050117:1911,0,0,5.24,4.9,0
20050117:2011,0,0,5.04,4.97,0
20050117:2111,0,0,5.42,5.17,0
20050117:2211,0,0,5.58,5.31,0
20050117:2311,0,0,5.6,5.45,0
20050118:0011,0,0,5.51,5.66,0
20050118:0111,0,0,5.55,5.79,0
20050118:0211,0,0,5.48,5.86,0
20050118:0311,0,0,5.45,5.72,0
20050118:0411,0,0,5.48,5.59,0
20050118:0511,0,0,5.55,5.45,0
20050118:0611,0,0,5.62,5.38,0
20050118:0711,0,0,5.46,5.52,0
20050118:0811,0,0,5.49,4.9,0
20050118:0911,9.11,10.13,5.65,3.45,0
20050118:1011,19.13,14.24,5.5,2.62,0
20050118:1111,48.27,16.27,5.07,2.41,0
20050118:1211,59.2,16.03,4.51,2.28,0
20050118:1311,181.69,13.55,4.43,1.66,0
20050118:1411,106.78,9.05,4.39,1.66,0
20050118:1511,43.96,2.89,4.1,2.14,0
20050118:1611,0,0,3.39,2.41,0
20050118:1711,0,0,3.02,2.48,0
20050118:1811,0,0,2.52,2.55,0
20050118:1911,0,0,1.56,2.41,0
20050118:2011,0,0,1.49,2.97,0
20050118:2111,0,0,1.52,3.17,0
20050118:2211,0,0,1.07,3.24,0
20050118:2311,0,0,0.57,3.45,0
20050119:0011,0,0,0.29,3.79,0
20050119:0111,0,0,0.26,4.07,0
20050119:0211,0,0,0.41,4,0
20050119:0311,0,0,0.95,3.86,0
20050119:0411,0,0,1.89,3.86,0
20050119:0511,0,0,2.77,4.34,0
20050119:0611,0,0,2.71,4.69,0
20050119:0711,0,0,2.31,4.34,0
20050119:0811,78.86,4.44,2.28,4,0
20050119:0911,296.15,10.3,2.81,4.28,0
20050119:1011,23.68,14.43,3.63,4.69,0
20050119:1111,20.04,16.47,4.44,4.34,0
20050119:1211,660.18,16.25,4.75,5.1,0
20050119:1311,490.95,13.77,4.85,4.76,0
20050119:1411,14.57,9.27,4.84,5.03,0
20050119:1511,324.27,3.11,4.3,4.9,0
20050119:1611,0,0,3.26,4.07,0
20050119:1711,0,0,2.93,3.66,0
20050119:1811,0,0,2.38,3.45,0
20050119:1911,0,0,2.04,3.52,0
20050119:2011,0,0,1.93,3.52,0
20050119:2111,0,0,1.66,3.86,0
20050119:2211,0,0,1.72,4.48,0
20050119:2311,0,0,2.19,4.97,0
20050120:0011,0,0,2.49,5.79,0
20050120:0111,0,0,3.11,6.9,0
20050120:0211,0,0,3.95,7.66,0
20050120:0311,0,0,5.38,7.59,0
20050120:0411,0,0,7,7.59,0
20050120:0511,0,0,6.66,8.34,0
20050120:0611,0,0,6.11,7.38,0
20050120:0711,0,0,6.48,7.72,0
20050120:0811,3.64,4.59,6.16,7.72,0
20050120:0911,40.08,10.47,6.16,7.79,0
20050120:1011,95.39,14.62,6.84,7.17,0
20050120:1111,48.27,16.68,7.08,6.97,0
20050120:1211,40.08,16.47,7.28,7.31,0
20050120:1311,28.24,13.99,7,7.03,0
20050120:1411,33.7,9.49,7.02,6.83,0
20050120:1511,4.55,3.33,7.03,7.45,0
20050120:1611,0,0,7.05,8.14,0
20050120:1711,0,0,6.69,7.38,0
20050120:1811,0,0,6.28,7.17,0
20050120:1911,0,0,6.06,7.52,0
20050120:2011,0,0,5.67,6.97,0
20050120:2111,0,0,5.49,6.69,0
20050120:2211,0,0,5.38,6.55,0
20050120:2311,0,0,5.06,6.48,0
20050121:0011,0,0,4.69,6.14,0
20050121:0111,0,0,4.3,6.41,0
20050121:0211,0,0,4.1,5.79,0
20050121:0311,0,0,3.67,5.38,0
20050121:0411,0,0,3.34,5.52,0
20050121:0511,0,0,3.19,5.24,0
20050121:0611,0,0,3.05,4.9,0
20050121:0711,0,0,3.15,5.31,0
20050121:0811,29.91,4.75,3.2,5.03,0
20050121:0911,274.97,10.65,3.42,4.83,0
20050121:1011,597.46,14.82,3.5,4.69,0
20050121:1111,693.09,16.9,4.07,4.83,0
20050121:1211,246.36,16.69,4.24,5.24,0
20050121:1311,61.94,14.22,4.48,5.79,0
20050121:1411,12.75,9.72,4.45,6.14,0
20050121:1511,290.94,3.56,3.41,5.72,0
20050121:1611,0,0,3.25,5.38,0
20050121:1711,0,0,2.73,5.24,0
20050121:1811,0,0,2.82,5.17,0
20050121:1911,0,0,2.61,5.52,0
20050121:2011,0,0,2.69,5.72,0
20050121:2111,0,0,2.63,6,0
20050121:2211,0,0,2.75,6.34,0
20050121:2311,0,0,3.02,6.69,0
20050122:0011,0,0,2.23,5.86,0
20050122:0111,0,0,2.34,5.52,0
20050122:0211,0,0,2.87,5.1,0
20050122:0311,0,0,3.01,4.55,0
20050122:0411,0,0,2.63,4,0
20050122:0511,0,0,2.13,3.66,0
20050122:0611,0,0,1.94,3.66,0
20050122:0711,0,0,1.84,3.66,0
20050122:0811,75.92,4.92,2.57,3.86,0
20050122:0911,386.91,10.84,3.39,4.14,0
20050122:1011,281.91,15.02,4.56,4,0
20050122:1111,366.48,17.12,5.32,4.07,0
20050122:1211,380.57,16.92,5.68,4.55,0
20050122:1311,631.84,14.46,5.86,4.9,0
20050122:1411,553.59,9.96,5.65,4.62,0
20050122:1511,390.74,3.79,4.96,4.41,0
20050122:1611,0,0,3.96,3.66,0
20050122:1711,0,0,3.21,3.52,0
20050122:1811,0,0,2.38,3.24,0
20050122:1911,0,0,1.85,3.1,0
20050122:2011,0,0,1.48,3.1,0
20050122:2111,0,0,1.05,3.03,0
20050122:2211,0,0,0.66,2.9,0
20050122:2311,0,0,0.44,2.76,0
20050123:0011,0,0,0.36,2.83,0
20050123:0111,0,0,-0.03,2.83,0
20050123:0211,0,0,-0.12,2.83,0
20050123:0311,0,0,-0.15,2.9,0
20050123:0411,0,0,-0.03,2.9,0
20050123:0511,0,0,-0.13,2.83,0
20050123:0611,0,0,-0.45,2.83,0
20050123:0711,0,0,-1.34,2.69,0
20050123:0811,87.62,5.09,-1.32,2.69,0
20050123:0911,395.78,11.03,-0.18,2.9,0
20050123:1011,488.41,15.23,1.62,2.83,0
20050123:1111,620.9,17.34,2.53,3.45,0
20050123:1211,88.91,17.16,3.29,3.79,0
20050123:1311,65.58,14.7,3.54,5.03,0
20050123:1411,32.79,10.2,3,5.45,0
20050123:1511,18.22,4.02,2.48,5.31,0
20050123:1611,0,0,1.36,4.62,0
20050123:1711,0,0,0.98,4.48,0
20050123:1811,0,0,0.6,4.14,0
20050123:1911,0,0,0.23,4.48,0
20050123:2011,0,0,0.19,4.48,0
20050123:2111,0,0,0.26,4.41,0
20050123:2211,0,0,-0.07,3.31,0
20050123:2311,0,0,-0.58,3.1,0
20050124:0011,0,0,-0.94,3.24,0
20050124:0111,0,0,-1.17,3.38,0
20050124:0211,0,0,-1.51,3.31,0
20050124:0311,0,0,-1.73,3.24,0
20050124:0411,0,0,-1.82,3.31,0
20050124:0511,0,0,-1.79,3.45,0
20050124:0611,0,0,-1.8,3.52,0
20050124:0711,0,0,-1.52,3.86,0
20050124:0811,32.15,5.27,-1.46,3.86,0
20050124:0911,197.21,11.23,-0.74,3.79,0
20050124:1011,61.94,15.45,-0.16,3.93,0
20050124:1111,79.24,17.58,0.59,5.45,0
20050124:1211,39.17,17.4,0.99,4.41,0
20050124:1311,32.79,14.94,1.22,4.21,0
20050124:1411,40.08,10.44,1.26,4.14,0
20050124:1511,90.78,4.26,1.01,3.59,0
20050124:1611,0,0,0.03,3.17,0
20050124:1711,0,0,-0.59,3.1,0
20050124:1811,0,0,-0.87,3.17,0
20050124:1911,0,0,-1.26,3.24,0
20050124:2011,0,0,-1.48,3.1,0
20050124:2111,0,0,-1.6,2.97,0
20050124:2211,0,0,-1.63,2.9,0
20050124:2311,0,0,-1.88,2.76,0
20050125:0011,0,0,-2.17,2.69,0
20050125:0111,0,0,-2.4,2.62,0
20050125:0211,0,0,-2.38,2.76,0
20050125:0311,0,0,-1.75,2.97,0
20050125:0411,0,0,-1.44,3.17,0
20050125:0511,0,0,-1.31,3.03,0
20050125:0611,0,0,-1.32,2.9,0
20050125:0711,0,0,-2.17,3.1,0
20050125:0811,10.02,5.46,-1.99,3.17,0
20050125:0911,250.08,11.44,-1.38,4.41,0
20050125:1011,471.48,15.67,-0.82,4.55,0
20050125:1111,383.04,17.82,-0.3,4.28,0
20050125:1211,476.27,17.65,0.1,3.86,0
20050125:1311,174.09,15.2,0.24,3.59,0
20050125:1411,134.17,10.69,0.18,3.52,0
20050125:1511,360.92,4.5,-0.14,2.97,0
20050125:1611,0,0,-0.84,2.97,0
20050125:1711,0,0,-1.57,3.1,0
20050125:1811,0,0,-2.13,3.31,0
20050125:1911,0,0,-2.15,3.66,0
20050125:2011,0,0,-2.12,3.59,0
20050125:2111,0,0,-2.06,3.52,0
20050125:2211,0,0,-2.02,3.52,0
20050125:2311,0,0,-1.98,3.52,0
20050126:0011,0,0,-1.82,3.38,0
20050126:0111,0,0,-1.55,3.31,0
20050126:0211,0,0,-1.37,3.31,0
20050126:0311,0,0,-1.35,3.38,0
20050126:0411,0,0,-1.4,3.45,0
20050126:0511,0,0,-1.44,3.38,0
20050126:0611,0,0,-1.61,3.17,0
20050126:0711,0,0,-1.63,3.03,0
20050126:0811,55.13,5.65,-1.43,3.03,0
20050126:0911,131.74,11.65,-0.94,2.62,0
20050126:1011,87.65,15.9,-0.12,4.07,0
20050126:1111,22.77,18.06,0.1,3.66,0
20050126:1211,368.86,17.9,0.4,3.52,0
20050126:1311,348.15,15.45,0.56,3.45,0
20050126:1411,33.7,10.94,0.24,3.1,0
20050126:1511,12.75,4.75,-0.18,2.48,0
20050126:1611,0,0,-0.93,2.07,0
20050126:1711,0,0,-1.57,1.93,0
20050126:1811,0,0,-1.79,1.86,0
20050126:1911,0,0,-2.16,1.52,0
20050126:2011,0,0,-2.74,1.38,0
20050126:2111,0,0,-3.37,1.24,0
20050126:2211,0,0,-2.98,0.97,0
20050126:2311,0,0,-2.82,0.83,0
20050127:0011,0,0,-2.07,0.48,0
