Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
324000,2123.02182421308,137.74406676582,2260.7658909789,729.088928807884,21.4290086921164,750.5179375,462.085194452766,10.3768066001137,472.46200105288
327600,2751.21802793171,175.840566732089,2927.0585946638,827.170697254389,27.1153027456108,854.286,564.09248013155,15.403287781245,579.495767912795
331200,3186.68570473769,297.763317543597,3484.44902228128,969.101178110479,52.828259389521,1021.9294375,700.811767785412,32.752261388785,733.564029174197
334800,3420.96208451389,207.48880895598,3628.45089346987,999.194345528403,42.1010919715968,1041.2954375,790.320095689394,33.21988190016,823.539977589554
338400,3676.49865843122,65.1539792108355,3741.65263764205,1074.78977813393,15.8965968660682,1090.686375,865.911390569554,11.1347091963028,877.046099765857
342000,3813.16042482977,24.97979101053,3838.1402158403,1134.59236116559,7.74963883440841,1142.342,926.192436114143,6.744996863765,932.937432977908
345600,3938.44063418049,12.813675498,3951.25430967849,1203.3261683097,3.95670669030431,1207.282875,977.478424184695,3.467529,980.945953184695
349200,4014.111157955,6.23886821999999,4020.35002617501,1250.51128259463,2.05184240537102,1252.563125,1022.13488080313,1.68830999999999,1023.82319080313
352800,4098.98572119829,0.783626901079172,4099.76934809937,1302.48920630597,0.0471686940256442,1302.536375,1065.65543381523,0.0064935,1065.66192731523
356400,4156.06503068813,2.471551641,4158.53658232913,1343.70447877875,0.805396221248469,1344.509875,1106.4192741849,0.6688305,1107.0881046849
360000,4215.73458645529,17.7351242191289,4233.46971067442,1389.40222925285,2.55727074715311,1391.9595,1146.06999849063,1.337661,1147.40765949063
363600,4263.96518445113,39.4420603732232,4303.40724482435,1600.70722457736,3.28752542264306,1603.99475,1184.29194567109,1.01139679890519,1185.30334247
367200,4319.24270310544,320.492790816664,4639.7354939221,1727.56283217027,29.6836678297277,1757.2465,1221.10420441716,1.08763838252771,1222.19184279969
370800,3610.84439654801,516.565720150995,4127.41011669901,1510.59554878034,76.2692012196588,1586.86475,1129.72892378431,45.0987590590934,1174.8276828434
374400,3073.08232859697,416.412380550073,3489.49470914705,1392.27171480986,47.7551601901354,1440.026875,1001.49134142788,22.2377252719752,1023.72906669986
378000,2715.01840327689,258.45565228856,2973.47405556545,1275.03328005256,22.97284494744,1298.006125,924.260276496253,10.6871699389462,934.947446435199
381600,2487.61822553278,160.064702269081,2647.68292780186,1198.26836404192,25.5108859580828,1223.77925,855.747078500196,14.0470295030305,869.794108003227
385200,2282.5235516235,305.927226281138,2588.45077790464,1108.93743885466,45.8761861453376,1154.813625,776.885375658352,27.8761711569257,804.761546815278
388800,2089.13940437929,279.071240703089,2368.21064508238,1016.01014921465,42.381850785351,1058.392,710.43493868668,22.599494611335,733.034433298015
392400,1946.51407936638,387.197426872703,2333.71150623908,996.61553215982,43.02815534018,1039.6436875,669.198237840397,22.4288921387606,691.627129979158
396000,1865.71656195714,471.801786089381,2337.51834804652,964.138889105792,42.2367358942079,1006.375625,635.644436865062,17.1899995603471,652.834436425409
399600,1763.50150573452,241.658090397953,2005.15959613247,907.611761320401,23.7171136795986,931.328875,609.443136626003,12.6784800956507,622.121616721654
403200,1777.03237849632,185.505085643788,1962.53746414011,875.721871627032,22.8761283729679,898.598,590.921928455433,9.80814996462058,600.730078420054
406800,1817.14535815327,237.638099346825,2054.78345750009,882.411109189738,24.7045783102622,907.1156875,593.970331600954,10.9673667687018,604.937698369656
410400,1870.07296193665,143.490969353999,2013.56393129065,884.576875898907,17.8681241010932,902.445,604.606315304984,9.56731825531751,614.173633560302
414000,2452.85458883814,188.140301489548,2640.99489032768,977.847390823972,26.1053591760277,1003.95275,722.873316649381,15.39854391748,738.271860566861
